estado,unidade,equipamento,host
PR,7445-0 - EVENTOS,PR7445EV1,10.105.0.128
PR,7445-0 - EVENTOS,PR7445EV10,10.105.0.115
PR,7445-0 - EVENTOS,PR7445EV11,10.105.0.114
PR,7445-0 - EVENTOS,PR7445EV12,10.105.0.113
PR,7445-0 - EVENTOS,PR7445EV13,10.105.0.108
PR,7445-0 - EVENTOS,PR7445EV14,10.105.0.111
PR,7445-0 - EVENTOS,PR7445EV15,10.105.0.110
PR,7445-0 - EVENTOS,PR7445EV16,10.105.0.109
PR,7445-0 - EVENTOS,PR7445EV17,10.105.0.117
PR,7445-0 - EVENTOS,PR7445EV2,10.105.0.134
PR,7445-0 - EVENTOS,PR7445EV3,10.105.0.133
PR,7445-0 - EVENTOS,PR7445EV4,10.105.0.132
PR,7445-0 - EVENTOS,PR7445EV5,10.105.0.112
PR,7445-0 - EVENTOS,PR7445EV6,10.105.0.131
PR,7445-0 - EVENTOS,PR7445EV7,10.105.0.130
PR,7445-0 - EVENTOS,PR7445EV8,10.105.0.129
PR,7445-0 - EVENTOS,PR7445EV9,10.105.0.116
PR,7445-0 - EVENTOS,PR7876EV20,10.105.0.220
PR,7445-0 - EVENTOS,PR7876EV21,10.105.0.221
PR,7445-0 - EVENTOS,PR7876EV22,10.105.0.222
SC,0019-0 FAXINAL DOS GUEDES,SC0019RA1.sc.caixa,SC0019RA1.sc.caixa
SC,0019-0 FAXINAL DOS GUEDES,SC0019SW020.sc.caixa,SC0019SW020.sc.caixa
SC,0019-0 FAXINAL DOS GUEDES,SC0019SW021.sc.caixa,SC0019SW021.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408RA1.sc.caixa,SC0408RA1.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408SW150.sc.caixa,SC0408SW150.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408SW151.sc.caixa,SC0408SW151.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408SW152.sc.caixa,SC0408SW152.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408SW153.sc.caixa,SC0408SW153.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408SW154.sc.caixa,SC0408SW154.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408SW155.sc.caixa,SC0408SW155.sc.caixa
SC,0408-0 ANITA GARIBALDI,SC0408SW199.sc.caixa,SC0408SW199.sc.caixa
SC,0409-0 NEWTON MACUCO,SC0409RA1.sc.caixa,SC0409RA1.sc.caixa
SC,0409-0 NEWTON MACUCO,SC0409SW150.sc.caixa,SC0409SW150.sc.caixa
SC,0409-0 NEWTON MACUCO,SC0409SW151.sc.caixa,SC0409SW151.sc.caixa
SC,0409-0 NEWTON MACUCO,SC0409SW152.sc.caixa,SC0409SW152.sc.caixa
SC,0409-0 NEWTON MACUCO,SC0409SW153.sc.caixa,SC0409SW153.sc.caixa
SC,0409-0 NEWTON MACUCO,SC0409SW154.sc.caixa,SC0409SW154.sc.caixa
SC,0409-0 NEWTON MACUCO,SC0409SW199.sc.caixa,SC0409SW199.sc.caixa
SC,0410-0 HERIBERTO HULSE,SC0410RA1.sc.caixa,SC0410RA1.sc.caixa
SC,0410-0 HERIBERTO HULSE,SC0410SW150.sc.caixa,SC0410SW150.sc.caixa
SC,0410-0 HERIBERTO HULSE,SC0410SW151.sc.caixa,SC0410SW151.sc.caixa
SC,0410-0 HERIBERTO HULSE,SC0410SW152.sc.caixa,SC0410SW152.sc.caixa
SC,0410-0 HERIBERTO HULSE,SC0410SW199.sc.caixa,SC0410SW199.sc.caixa
